"GXP/GIP","Bus","Name","Voltage","Number","Creation date","Easting","Northing","Lat","Long","Island","TLA","Transmission region","A nearby population center or terrain feature","Main lines company","Code","# active ICPs as of Jan 2010","and by retailer: Meridian Energy","Genesis Power","Contact Energy","Mighty River Power","Trustpower","Other","Main retailer as of 2010 (by ICPs)","Mean offtake over 2005-09 (MW)","Max offtake over 2005-09 (MW)","Load factor","Mean offtake in winter - peak periods (MW)","Mean offtake in winter - offpeak day periods (MW)","Mean offtake in winter - offpeak night periods (MW)","Mean offtake in summer - peak periods (MW)","Mean offtake in summer - offpeak day periods (MW)","Mean offtake in summer - offpeak night periods (MW)","Highest load in…","Daily demand trace over 2007-09","168-hour demand profile over 2007-09","Embedded generators over 1 MW","Direct connect customers","From distributor survey                                      : major individual loads",": comments on other loads",": CBD (%)",": residential (%)",": commercial / industrial (%)",": agricultural (%)"
"TKR0331","TKR","Takapu Rd",33,"1","earlier",1757027,5442090,-41.157,174.872,"N","Wellington City","Wellington","Porirua","Wellington Electricity Lines Limited","CKHK",29147,2282,18590,4005,2504,528,1238,"Genesis Power",44,93,48%,63,53,41,46,45,33,"Winter peak","Plot for TKR0331","Plot for TKR0331",,,,,,,,
"TKU0331","TKU","Tokaanu",33,"1","earlier",1839958,5681603,-38.982,175.770,"N","Taupo District","Central","Turangi","The Lines Company","LINE",4478,60,519,9,4,0,3886,,4,10,41%,6,5,4,5,4,3,"Winter peak","Plot for TKU0331","Plot for TKU0331",,"Genesis (Tokaanu)"," ","Prison",0%,100%,0%,0%
"TMI0331","TMI","Te Matai",33,"1","earlier",1893973,5809249,-37.817,176.340,"N","Western Bay of Plenty District","BOP","Te Puke","Powerco Ltd","POCO",8112,33,589,159,235,6968,128,"Trustpower",15,28,51%,19,18,14,15,14,11,"Winter peak","Plot for TMI0331","Plot for TMI0331",,," "," ",4%,36%,27%,33%
"TMK0331","TMK","Temuka",33,"1","earlier",1463598,5101872,-44.224,171.292,"S","Timaru District","South Canterbury","Temuka","Alpine Energy","ALPE",6324,684,249,4215,44,1132,0,"Contact Energy",28,51,54%,22,21,19,36,36,34,"Summer peak","Plot for TMK0331","Plot for TMK0331",,,"Clandeboye dairy factory","Irrigation, dairy, Temuka and Geraldine townships",0%,25%,60%,15%
"TMN0551","TMN","Taumarunui",55,"1","earlier",1801812,5692900,-38.890,175.327,"N","Ruapehu District","Taranaki","Taumaranui (west of Lake Taupo)",,,0,0,0,0,0,0,0,,1,11,11%,1,1,2,1,1,2,"Summer night","Plot for TMN0551","Plot for TMN0551",,"Ontrack",,,,,,
"TMU0111","TMU","Te Awamutu",11,"1","earlier",1803711,5791402,-38.002,175.320,"N","Waipa District","Waikato","Te Awamutu","Waipa Power Ltd","WAIP",12752,215,3017,253,858,8221,188,"Trustpower",18,37,48%,24,19,15,22,19,15,"Winter peak","Plot for TMU0111","Plot for TMU0111","Anchor Products",,"Fonterra Te Awamutu"," ",0%,50%,10%,40%
"TNG0111","TNG","Tangiwai",11,"1","earlier",1821295,5628491,-39.465,175.572,"N","Ruapehu District","Central","Waiouru",,,0,0,0,0,0,0,0,,31,49,64%,32,31,32,31,30,31,"Winter night","Plot for TNG0111","Plot for TNG0111",,"Winstone Pulp International",,,,,,
"TNG0551","TNG","Tangiwai",55,"1","earlier",1821295,5628491,-39.465,175.572,"N","Ruapehu District","Central","Waiouru",,,0,0,0,0,0,0,0,,1,9,13%,1,1,1,1,1,1,"Summer night","Plot for TNG0551","Plot for TNG0551",,"Ontrack",,,,,,
"TRK0111","TRK","Tarukenga",11,"1",10/10/2003,1877161,5781280,-38.074,176.160,"N","Rotorua District","BOP","Rotorua","Unison Network Ltd","HAWK",3489,16,1202,178,409,1558,126,"Trustpower",4,11,41%,6,5,4,5,4,4,"Winter peak","Plot for TRK0111","Plot for TRK0111",,,,,,,,
"TUI0111","TUI","Tuai",11,"1","earlier",1960527,5696632,-38.805,177.151,"N","Wairoa District","Hawkes Bay","Lake Waikaremoana","Eastland Network Ltd","EAST",368,6,131,11,2,218,0,"Trustpower",0,1,50%,0,0,0,0,0,0,"Winter peak","Plot for TUI0111","Plot for TUI0111",,," "," ",0%,80%,"some","some"
"TWH0331","TWH","Te Kowhai",33,"1",6/06/2005,1789809,5821033,-37.738,175.154,"N","Waikato District","Waikato","Hamilton","WEL Networks","WAIK",14402,355,11635,691,1493,208,20,"Genesis Power",16,93,17%,27,24,15,17,19,6,"Winter peak","Plot for TWH0331","Plot for TWH0331","Te Rapa",,"Fonterra Te Rapa"," ",30%,30%,40%,0%
"TWI2201","TWI","Tiwai",220,"1","earlier",1247051,4830115,-46.590,168.392,"S","Invercargill City","Otago Southland","Tiwai Point","New Zealand Aluminium Smelters Ltd","NZAS",1,0,0,0,0,0,1,,563,609,92%,561,562,562,564,565,565,"Summer daytime","Plot for TWI2201","Plot for TWI2201",,"New Zealand Aluminium Smelters",,,,,,
"TWZ0331","TWZ","Twizel",33,"1","earlier",1368607,5093092,-44.279,170.100,"S","Mackenzie District","South Canterbury","Twizel","Alpine Energy","ALPE",1359,216,21,950,8,164,0,"Contact Energy",1,4,16%,1,1,1,1,1,1,"Winter peak","Plot for TWZ0331","Plot for TWZ0331",,"Meridian (Twizel)"," ","Twizel township",0%,70%,10%,20%
"UHT0331","UHT","Upper Hutt",33,"1","earlier",1775869,5448080,-41.100,175.094,"N","Upper Hutt City","Wellington","Upper Hutt","Wellington Electricity Lines Limited","CKHK",10309,548,7422,1040,899,166,234,"Genesis Power",16,34,47%,22,19,15,16,15,12,"Winter peak","Plot for UHT0331","Plot for UHT0331",,,,,,,,
"WAI0111","WAI","Waiotahi",11,"1","earlier",1968010,5783085,-38.025,177.192,"N","Opotiki District","BOP","East of Whakatane","Horizon Energy Distribution Limited","HEDL",4241,20,150,97,115,38,3821,,5,9,53%,7,6,4,6,5,4,"Winter peak","Plot for WAI0111","Plot for WAI0111",,," "," ",0%,"some","little","some"
"WDV0111","WDV","Woodville",11,"1","earlier",1842681,5533315,-40.315,175.856,"N","Tararua District","Central","Woodville (east of Palmerston North)","Scanpower Ltd","SCAN",1415,998,245,160,5,7,0,"Meridian Energy Ltd",2,3,50%,2,2,2,2,2,2,"Winter peak","Plot for WDV0111","Plot for WDV0111",,,"Kordia","Dairy",5%,60%,20%,15%
"WEL0331","WEL","Wellsford",33,"1","earlier",1735902,5983374,-36.285,174.513,"N","Rodney District","North Isthmus","Wellsford (north of Warkworth)","United Networks Ltd","UNET",13191,335,7616,2331,2800,48,61,"Genesis Power",16,30,54%,22,18,14,19,17,13,"Winter peak","Plot for WEL0331","Plot for WEL0331",,,,,,,,
"WGN0331","WGN","Wanganui",33,"1","earlier",1781016,5576954,-39.938,175.119,"N","Wanganui District","Central","Wanganui","Powerco Ltd","POCO",9707,215,5867,935,2484,195,11,"Genesis Power",16,48,32%,20,18,14,16,17,13,"Winter peak","Plot for WGN0331","Plot for WGN0331",,," ","Wanganui city",2%,44%,46%,8%
"WHI0111","WHI","Whirinaki",11,"1","earlier",1934801,5633592,-39.382,176.887,"N","Hastings District","Hawkes Bay","Whirinaki",,,0,0,0,0,0,0,0,,27,79,34%,25,25,29,26,25,28,"Winter night","Plot for WHI0111","Plot for WHI0111","Pan Pac","Pan Pac Forest Products",,,,,,
"WHU0331","WHU","Waihou",33,"1","earlier",1836959,5838596,-37.569,175.683,"N","Matamata-Piako District","Waikato","Te Aroha (near Morrinsville, northeast of Hamilton)","Powerco Ltd","POCO",11730,552,7311,1523,2054,173,117,"Genesis Power",36,57,63%,39,35,30,44,41,35,"Summer peak","Plot for WHU0331","Plot for WHU0331",,,"Dairy factories"," ",1%,22%,55%,22%
"WIL0331","WIL","Wilton",33,"1","earlier",1747427,5431039,-41.259,174.760,"N","Wellington City","Wellington","Wilton, Wellington","Wellington Electricity Lines Limited","CKHK",14957,1679,7699,2695,1276,349,1259,"Genesis Power",41,98,42%,56,55,35,44,47,28,"Winter peak","Plot for WIL0331","Plot for WIL0331",,,,,,,,
"WIR0331","WIR","Wiri",33,"1","earlier",1767719,5904822,-36.988,174.885,"N","Manukau City","Auckland","Manukau, Auckland","Vector Limited","VECT",13217,157,1011,2304,9584,101,60,"Mighty River Power Limited",41,70,58%,50,51,34,44,49,32,"Winter daytime","Plot for WIR0331","Plot for WIR0331",,,,,,,,
"WKM2201","WKM","Whakamaru",220,"1",1/11/2001,1844451,5743970,-38.419,175.800,"N","Taupo District","Waikato","Mangakino, northwest of Taupo",,,0,0,0,0,0,0,0,,0,7,0%,0,0,0,0,0,0,"Summer daytime","Plot for WKM2201","Plot for WKM2201",,," ","Dairy, glasshouses",10%,0%,0%,90%
"WKO0331","WKO","Waikino",33,"1","earlier",1845544,5855397,-37.416,175.775,"N","Hauraki District","Waikato","Waihi","Powerco Ltd","POCO",15233,399,8790,1826,2718,1228,272,"Genesis Power",19,36,53%,25,21,17,22,20,16,"Winter peak","Plot for WKO0331","Plot for WKO0331",,,"Waihi Gold"," ",11%,25%,49%,15%
"WPR0331","WPR","Waipara",33,"1","earlier",1580136,5233395,-43.052,172.756,"S","Hurunui District","Canterbury","Waipara (which is north of Amberley)","MainPower NZ Ltd","MPOW",3343,209,67,2996,25,46,0,"Contact Energy",6,12,46%,7,5,5,7,6,5,"Winter peak","Plot for WPR0331","Plot for WPR0331",,," ","Viticulture, lifestyle",0%,50%,5%,45%
"WPR0661","WPR","Waipara",66,"1",5/11/2007,1580136,5233395,-43.052,172.756,"S","Hurunui District","Canterbury","Waipara (which is north of Amberley)","MainPower NZ Ltd","MPOW",2238,165,101,1918,12,42,0,"Contact Energy",3,11,26%,3,3,2,3,3,3,"Summer peak","Plot for WPR0661","Plot for WPR0661",,," ","Farming and small towns",0%,35%,5%,60%
"WPT0111","WPT","Westport",11,"1","earlier",1476011,5376688,-41.752,171.509,"S","Buller District","West Coast","Westport","Buller Electricity Ltd","BUEL",490,78,8,70,1,333,0,"Trustpower",6,10,65%,6,6,7,6,6,6,"Winter night","Plot for WPT0111","Plot for WPT0111",,,"Holcim cement works"," ",0%,4%,92%,4%
"WPW0331","WPW","Waipawa",33,"1","earlier",1894612,5575578,-39.919,176.447,"N","Central Hawke's Bay District","Central","Waipawa (between Dannevirke and Hastings)","Central Hawkes Bay Power Ltd","CHBP",7988,4727,1899,1174,96,92,0,"Meridian Energy Ltd",13,21,64%,16,14,11,16,15,12,"Winter peak","Plot for WPW0331","Plot for WPW0331",,,"Takapau freezing works"," ",0%,24%,40%,36%
"WRA0111","WRA","Wairoa",11,"1","earlier",1981648,5674332,-38.997,177.406,"N","Wairoa District","Hawkes Bay","Wairoa","Eastland Network Ltd","EAST",4504,158,539,436,18,3353,0,"Trustpower",5,9,53%,6,5,4,6,6,5,"Summer peak","Plot for WRA0111","Plot for WRA0111","Waihi Station",," ","Meat processing",0%,40%,"some","some"
"WRK0331","WRK","Wairakei",33,"1","earlier",1870346,5720184,-38.626,176.105,"N","Taupo District","Waikato","Taupo","Unison Network Ltd","HAWK",14266,125,2541,1583,1834,7757,426,"Trustpower",6,36,18%,9,7,5,7,7,5,"Winter peak","Plot for WRK0331","Plot for WRK0331","Hinemaiaia A, Hinemaiaia B, Hinemaiaia C",,,,,,,
"WTK0331","WTK","Waitaki",33,"1","earlier",1396286,5048039,-44.692,170.429,"S","Waitaki District","Otago Southland","Lake Waitaki","Network Waitaki Ltd","WATA",1799,1555,27,145,7,65,0,"Meridian Energy Ltd",3,5,49%,2,2,2,3,3,3,"Summer peak","Plot for WTK0331","Plot for WTK0331",,," ","Irrigation",0%,"some","some","most"
"WTU0331","WTU","Whakatu",33,"1","earlier",1933250,5608716,-39.606,176.881,"N","Hastings District","Hawkes Bay","Hastings","Unison Network Ltd","HAWK",23787,497,9657,12769,202,660,2,"Contact Energy",49,93,53%,65,57,45,53,52,39,"Winter peak","Plot for WTU0331","Plot for WTU0331","Assorted, up to 4MW",,,,,,,
"WVY0111","WVY","Waverley",11,"1","earlier",1740106,5598258,-39.754,174.635,"N","South Taranaki District","Taranaki","Waverley (between Wanganui and Hawera)","Powerco Ltd","POCO",1364,46,1098,76,91,53,0,"Genesis Power",2,4,58%,3,2,2,3,3,2,"Summer peak","Plot for WVY0111","Plot for WVY0111",,," ","Dairy",0%,45%,10%,45%
"WWD1102","WWD","West Wind",110,"2","early 2009",1739027,5427096,-41.296,174.660,"N","Wellington City","Wellington","Makara",,,0,0,0,0,0,0,0,,0,0,5%,0,0,0,0,0,0,"Winter daytime","Plot for WWD1102","Plot for WWD1102",,,,,,,,
"WWD1103","WWD","West Wind",110,"3","early 2009",1739027,5427096,-41.296,174.660,"N","Wellington City","Wellington","Makara",,,0,0,0,0,0,0,0,,0,1,3%,0,0,0,0,0,0,"Summer night","Plot for WWD1103","Plot for WWD1103",,,,,,,,
